cgpa,resume_score,salary_in_pkr
6.82,7.59,120000.0
9.21,5.3,120000.0
8.3,5.61,120000.0
7.75,8.64,120000.0
5.92,7.44,103233.05
5.92,4.99,64243.6
5.51,5.37,63884.02
8.86,7.68,120000.0
7.76,4.97,92771.05
8.2,5.61,120000.0
5.36,7.21,82604.73
9.29,7.79,120000.0
8.72,7.63,120000.0
6.15,5.87,86258.47
6.02,7.88,113257.4
6.03,5.93,84094.34
6.53,6.29,95407.89
7.44,8.02,120000.0
7.06,7.62,120000.0
6.48,8.44,120000.0
7.8,7.65,120000.0
5.85,7.29,97257.99
6.48,5.34,75918.76
6.79,6.46,101205.5
7.16,6.04,105083.87
8.52,5.95,120000.0
6.1,8.95,120000.0
7.4,6.57,116829.3
7.72,8.62,120000.0
5.46,7.54,92081.37
7.79,8.22,120000.0
5.98,7.02,97503.08
5.54,7.32,85529.05
9.2,6.97,120000.0
9.27,5.75,120000.0
8.62,7.92,120000.0
6.53,6.1,94251.58
5.67,5.05,68969.07
8.1,7.6,120000.0
7.09,5.68,95403.45
5.78,8.82,119322.1
7.32,8.87,120000.0
5.41,8.71,110735.19
9.03,6.47,120000.0
6.34,5.01,74342.41
8.01,8.77,120000.0
6.56,6.71,105081.92
7.42,8.92,120000.0
7.53,8.91,120000.0
6.04,8.46,120000.0
9.28,6.16,120000.0
8.48,6.53,120000.0
9.16,8.45,120000.0
8.97,6.25,120000.0
7.75,5.65,107844.73
9.09,7.24,120000.0
5.64,8.8,116582.29
6.08,7.81,112738.54
5.46,7.29,98079.45
6.62,5.35,87490.23
6.88,7.48,120000.0
6.39,9.02,120000.0
8.7,5.53,120000.0
6.75,7.08,112520.47
6.43,8.56,120000.0
7.52,7.99,120000.0
5.85,7.81,101801.09
8.59,7.84,120000.0
5.58,6.43,69668.6
9.36,6.16,120000.0
8.47,8.28,120000.0
6.09,8.28,118269.39
5.29,8.51,107346.54
8.65,8.7,120000.0
8.2,7.05,120000.0
8.29,7.01,120000.0
8.46,8.23,120000.0
5.58,7.62,100364.39
6.75,7.84,116739.83
5.75,8.22,119234.55
8.84,8.61,120000.0
7.85,6.34,117913.5
6.64,6.49,92065.48
5.53,5.34,70114.66
6.56,7.33,111282.48
6.62,5.1,85019.57
8.29,6.86,120000.0
7.91,7.18,120000.0
8.94,6.13,120000.0
7.22,7.38,120000.0
5.77,5.08,61310.77
8.22,5.1,110231.38
8.42,8.33,120000.0
7.59,6.43,116323.18
8.46,5.47,117897.59
7.31,7.1,120000.0
7.43,8.11,120000.0
7.04,5.84,92117.76
5.38,7.51,84813.14
5.72,5.3,72449.18
5.4,5.16,60101.08
7.9,7.13,120000.0
6.57,7.17,117506.59
7.38,7.57,120000.0
9.03,7.93,120000.0
6.3,8.96,120000.0
6.97,7.07,120000.0
8.4,6.28,120000.0
6.22,8.22,117729.37
5.59,6.06,79938.23
6.47,6.75,104718.81
5.94,5.27,76376.96
9.12,5.05,117204.36
8.62,8.91,120000.0
7.89,8.39,120000.0
8.88,7.81,120000.0
8.6,6.63,120000.0
6.04,5.66,67043.47
8.97,5.59,120000.0
7.5,5.98,111850.81
8.61,7.21,120000.0
8.98,7.89,120000.0
6.59,7.66,120000.0
5.73,6.1,71204.7
6.21,8.87,120000.0
7.04,7.98,120000.0
8.66,7.23,120000.0
8.83,7.46,120000.0
5.3,6.67,68472.7
7.38,5.97,105525.87
7.0,6.41,99394.96
6.19,8.06,119476.71
5.77,5.01,64428.53
6.67,5.43,80084.28
9.17,5.14,120000.0
6.61,5.12,73691.61
7.42,8.47,120000.0
8.18,7.84,120000.0
6.78,6.9,104410.36
9.29,5.35,120000.0
9.25,6.97,120000.0
6.31,6.9,96787.93
7.33,5.66,99633.07
6.52,6.73,96841.21
6.45,6.59,95817.93
5.42,7.48,86959.06
7.79,7.56,120000.0
7.35,5.14,92505.41
5.48,6.49,75965.89
6.42,7.52,113401.31
9.03,7.02,120000.0
6.26,8.47,120000.0
5.87,7.66,107029.03
7.3,5.62,102719.94
9.35,5.24,120000.0
6.27,7.59,107640.39
8.05,5.06,102040.9
8.42,7.36,120000.0
6.25,8.81,120000.0
8.28,7.32,120000.0
6.79,6.55,112438.85
7.89,7.59,120000.0
7.89,6.83,120000.0
7.49,7.19,120000.0
5.64,8.82,120000.0
8.73,6.54,120000.0
6.6,8.9,120000.0
6.04,8.67,117652.86
5.44,5.75,59805.69
7.72,5.24,101330.37
8.08,5.36,104923.62
5.34,5.02,48230.66
7.39,5.34,92950.72
6.21,7.76,106420.57
7.94,5.24,112827.69
5.99,6.26,89725.77
8.13,8.42,120000.0
6.87,5.05,89898.29
9.15,8.3,120000.0
5.84,6.11,75969.28
6.68,5.44,92784.3
5.74,7.81,106528.48
9.1,7.53,120000.0
8.9,8.56,120000.0
6.34,7.97,113153.85
8.0,8.25,120000.0
8.65,6.11,120000.0
7.57,5.68,114268.26
7.46,8.04,120000.0
6.27,8.27,120000.0
5.66,9.02,116889.0
8.98,6.65,120000.0
9.0,6.48,120000.0
7.89,8.14,120000.0
6.67,6.35,99295.76
6.72,8.78,120000.0
8.28,8.48,120000.0
8.98,6.71,120000.0
8.94,8.04,120000.0
8.5,8.05,120000.0
